,season,field,inv_item_name,inv_item_weight,inv_item_unit,inv_item_dose,inv_item_date,yield_fact
13200,2024,36.02.19.010.01,Удобрение 49,331645.92,т,65.0,2024-02-02,3163.7
17439,2024,36.02.19.010.01,Удобрение 57,669994.53,кг,130.0,2024-05-22,3163.7
1578,2023,36.02.19.013.01,Удобрение 49,40625.0,т,65.0,2023-03-30,
10770,2023,36.02.19.013.01,Удобрение 31,14625.0,м3,65.0,2023-09-01,
11003,2023,36.02.19.013.01,Удобрение 31,6500.0,м3,65.0,2023-09-15,
10734,2024,36.02.19.013.01,Удобрение 31,40625.0,м3,65.0,2023-08-30,
7719,2023,36.02.19.013.02,Удобрение 57,26996.74,кг,390.0,2023-06-03,4624.04
7788,2023,36.02.19.013.02,Удобрение 10,13498.37,кг,195.0,2023-06-05,4624.04
17440,2024,36.02.19.013.02,Удобрение 57,6645.93,кг,130.0,2024-05-22,
15578,2024,36.02.19.014.00,Удобрение 57,97450.5,кг,260.0,2024-04-25,8.45
17869,2024,36.02.19.014.00,Удобрение 34,730.88,л,1.95,2024-05-29,8.45
2256,2023,36.02.19.014.01,Удобрение 57,90422.28,кг,325.0,2023-04-11,0.0
2257,2023,36.02.19.014.01,Удобрение 28,72337.82,кг,260.0,2023-04-11,0.0
7476,2023,36.02.19.015.01,Удобрение 57,4675321.17,кг,325.0,2023-05-31,10.44
15487,2024,36.02.19.015.01,Удобрение 57,3197376.49,кг,195.0,2024-04-24,7.82
7088,2023,36.02.19.016.00,Удобрение 57,1611319.4,кг,299.0,2023-05-27,11.190000000000001
15488,2024,36.02.19.016.00,Удобрение 57,1050860.48,кг,195.0,2024-04-24,
6807,2023,36.02.19.017.00,Удобрение 57,29276.32,кг,3.25,2023-05-25,11.716666666666669
7089,2023,36.02.19.017.00,Удобрение 57,366275.0,кг,299.0,2023-05-27,11.716666666666669
7424,2023,36.02.19.017.00,Удобрение 57,1073173.22,кг,299.0,2023-05-30,11.716666666666669
7554,2023,36.02.19.018.00,Удобрение 57,37039.19,кг,299.0,2023-06-01,4746.54
15579,2024,36.02.19.018.00,Удобрение 57,24156.0,кг,195.0,2024-04-25,8.14
7425,2023,36.02.19.019.01,Удобрение 57,277962.39,кг,299.0,2023-05-30,9.65
628,2023,36.02.19.022.01,Удобрение 31,10156.25,м3,65.0,2022-09-20,2.6399999999999997
833,2023,36.02.19.022.02,Удобрение 31,525681.32,м3,65.0,2022-10-29,4.94
1642,2023,36.02.19.022.02,Удобрение 31,203840.0,м3,65.0,2023-04-02,4.94
7555,2023,36.02.19.022.02,Удобрение 57,1267110.0,кг,390.0,2023-06-01,4.94
7720,2023,36.02.19.022.02,Удобрение 57,422910.11,кг,390.0,2023-06-03,4.94
13228,2024,36.02.19.022.02,Удобрение 31,62465.0,м3,65.0,2024-02-17,
13251,2024,36.02.19.022.02,Удобрение 49,9360.0,т,65.0,2024-03-02,
16798,2024,36.02.19.022.02,Удобрение 31,66560.0,м3,65.0,2024-05-11,
10661,2023,36.02.19.023.00,Удобрение 49,9360.0,т,65.0,2023-08-26,1.4333333333333333
10662,2023,36.02.19.023.00,Удобрение 49,5265.0,т,65.0,2023-08-26,1.4333333333333333
10663,2024,36.02.19.023.00,Удобрение 49,131625.0,т,65.0,2023-08-26,6.85
10794,2024,36.02.19.023.00,Удобрение 57,21750.7,кг,3.9,2023-09-03,6.85
13025,2024,36.02.19.023.00,Удобрение 49,57258.66,т,65.0,2023-11-08,6.85
15356,2024,36.02.19.023.00,Удобрение 57,1087534.97,кг,195.0,2024-04-22,6.85
10664,2023,36.02.19.024.00,Удобрение 49,1040.0,т,65.0,2023-08-26,1.0533333333333335
10665,2023,36.02.19.024.00,Удобрение 49,585.0,т,65.0,2023-08-26,1.0533333333333335
10598,2024,36.02.19.024.00,Удобрение 49,283912.73,т,65.0,2023-08-24,6.84
10795,2024,36.02.19.024.00,Удобрение 57,16988.4,кг,3.9,2023-09-03,6.84
15426,2024,36.02.19.024.00,Удобрение 57,851738.18,кг,195.0,2024-04-23,6.84
6954,2023,36.02.19.025.00,Удобрение 57,9382.82,кг,3.25,2023-05-26,7.94
7426,2023,36.02.19.025.00,Удобрение 57,863186.96,кг,299.0,2023-05-30,7.94
15489,2024,36.02.19.025.00,Удобрение 57,562948.02,кг,195.0,2024-04-24,
7632,2023,36.02.19.026.00,Удобрение 57,4951745.14,кг,390.0,2023-06-02,2524.505
13214,2024,36.02.19.026.00,Удобрение 49,104000.0,т,65.0,2024-02-07,9.35
16152,2024,36.02.19.026.00,Удобрение 57,3301163.42,кг,260.0,2024-05-01,9.35
8600,2024,36.02.19.028.00,Удобрение 31,262096.25,м3,65.0,2023-06-16,6.07
9206,2024,36.02.19.028.00,Удобрение 31,196625.0,м3,65.0,2023-06-26,6.07
10680,2024,36.02.19.028.00,Удобрение 49,21060.0,т,65.0,2023-08-27,6.07
10735,2024,36.02.19.028.00,Удобрение 57,5990.4,кг,3.74,2023-08-30,6.07
13552,2024,36.02.19.028.00,Удобрение 49,37440.0,т,65.0,2024-03-16,6.07
8787,2023,36.02.19.028.01,Удобрение 31,4160.0,м3,65.0,2023-06-18,1.3099999999999998
8873,2023,36.02.19.028.01,Удобрение 31,4160.0,м3,65.0,2023-06-19,1.3099999999999998
8938,2023,36.02.19.028.01,Удобрение 31,2340.0,м3,65.0,2023-06-20,1.3099999999999998
8994,2023,36.02.19.028.01,Удобрение 31,2340.0,м3,65.0,2023-06-21,1.3099999999999998
9060,2023,36.02.19.028.01,Удобрение 31,3185.0,м3,65.0,2023-06-22,1.3099999999999998
9104,2023,36.02.19.028.01,Удобрение 31,585.0,м3,65.0,2023-06-23,1.3099999999999998
9179,2023,36.02.19.028.01,Удобрение 31,4696.25,м3,65.0,2023-06-25,1.3099999999999998
9207,2023,36.02.19.028.01,Удобрение 31,1625.0,м3,65.0,2023-06-26,1.3099999999999998
9259,2023,36.02.19.028.01,Удобрение 31,260.0,м3,65.0,2023-06-27,1.3099999999999998
9296,2023,36.02.19.028.01,Удобрение 31,5265.0,м3,65.0,2023-06-28,1.3099999999999998
9432,2023,36.02.19.028.01,Удобрение 31,2340.0,м3,65.0,2023-07-03,1.3099999999999998
9551,2023,36.02.19.028.01,Удобрение 31,1625.0,м3,65.0,2023-07-05,1.3099999999999998
9683,2023,36.02.19.028.01,Удобрение 31,585.0,м3,65.0,2023-07-09,1.3099999999999998
9707,2023,36.02.19.028.01,Удобрение 31,2814.27,м3,65.0,2023-07-10,1.3099999999999998
9740,2023,36.02.19.028.01,Удобрение 31,1625.0,м3,65.0,2023-07-11,1.3099999999999998
9764,2023,36.02.19.028.01,Удобрение 31,1625.0,м3,65.0,2023-07-12,1.3099999999999998
10736,2023,36.02.19.028.01,Удобрение 57,325.0,кг,3.25,2023-08-30,1.3099999999999998
9796,2023,36.02.19.029.01,Удобрение 31,3185.0,м3,65.0,2023-07-13,1.55
9818,2023,36.02.19.029.01,Удобрение 31,16640.0,м3,65.0,2023-07-14,1.55
9835,2023,36.02.19.029.01,Удобрение 31,34385.0,м3,65.0,2023-07-15,1.55
9847,2023,36.02.19.029.01,Удобрение 31,31460.0,м3,65.0,2023-07-16,1.55
13353,2024,36.02.19.029.01,Удобрение 31,651951.46,м3,65.0,2024-03-06,2.615
13354,2024,36.02.19.029.02,Удобрение 31,1310.41,м3,65.0,2024-03-06,2.57
15357,2024,36.02.19.030.00,Удобрение 57,492779.22,кг,195.0,2024-04-22,5.79
10737,2024,36.02.19.030.01,Удобрение 57,9855.58,кг,3.9,2023-08-30,
10796,2024,36.02.19.030.01,Удобрение 57,453356.88,кг,179.4,2023-09-03,
13018,2024,36.02.19.030.01,Удобрение 49,149760.0,т,65.0,2023-11-07,
13040,2024,36.02.19.030.02,Удобрение 49,334.94,т,65.0,2023-11-10,7.57
7556,2023,36.02.19.031.00,Удобрение 57,13866.45,кг,299.0,2023-06-01,8.44
13041,2024,36.02.19.031.00,Удобрение 49,3014.45,т,65.0,2023-11-10,7.63
15427,2024,36.02.19.031.00,Удобрение 57,9043.34,кг,195.0,2024-04-23,7.63
7557,2023,36.02.19.032.00,Удобрение 57,143010.77,кг,299.0,2023-06-01,7063.06
16247,2024,36.02.19.032.00,Удобрение 57,124357.19,кг,260.0,2024-05-02,6.74
16248,2024,36.02.19.033.00,Удобрение 57,3548804.71,кг,260.0,2024-05-02,7.97
7427,2023,36.02.19.034.00,Удобрение 57,624260.0,кг,65.0,2023-05-30,4557.285
13191,2024,36.02.19.034.00,Удобрение 49,189540.0,т,65.0,2024-01-29,7.45
16153,2024,36.02.19.034.00,Удобрение 57,2497040.0,кг,260.0,2024-05-01,7.45
6808,2023,36.02.19.037.02,Удобрение 10,89466.65,кг,65.0,2023-05-25,6253.6849999999995
6955,2023,36.02.19.037.02,Удобрение 57,178933.3,кг,130.0,2023-05-26,6253.6849999999995
13178,2024,36.02.19.037.02,Удобрение 49,89466.65,т,65.0,2024-01-16,
6701,2023,36.02.19.038.00,Удобрение 10,280486.45,кг,65.0,2023-05-24,638.0250000000001
6809,2023,36.02.19.038.00,Удобрение 57,2094200.81,кг,299.0,2023-05-25,638.0250000000001
13159,2024,36.02.19.038.00,Удобрение 49,395460.0,т,65.0,2023-12-17,
7558,2023,36.02.19.039.00,Удобрение 57,14607.22,кг,390.0,2023-06-01,6366.34
7559,2023,36.02.19.040.01,Удобрение 57,55879.55,кг,390.0,2023-06-01,5.85
16249,2024,36.02.19.040.01,Удобрение 57,37253.03,кг,260.0,2024-05-02,8.56
7560,2023,36.02.19.041.00,Удобрение 57,76221.76,кг,390.0,2023-06-01,4663.665
16250,2024,36.02.19.041.00,Удобрение 57,50814.5,кг,260.0,2024-05-02,7.85
7633,2023,36.02.19.042.00,Удобрение 57,2577779.1,кг,390.0,2023-06-02,4547.5
7561,2023,36.02.19.043.00,Удобрение 57,198491.9,кг,390.0,2023-06-01,5344.33
6552,2023,36.02.19.045.00,Удобрение 57,7171430.35,кг,299.0,2023-05-22,7605.345
6553,2023,36.02.19.045.00,Удобрение 10,4677019.8,кг,195.0,2023-05-22,7605.345
13184,2024,36.02.19.045.00,Удобрение 49,975406.25,т,65.0,2024-01-20,5.43
7562,2023,36.02.19.046.02,Удобрение 57,43407.98,кг,390.0,2023-06-01,2678.375
7563,2023,36.02.19.048.02,Удобрение 57,1836.47,кг,390.0,2023-06-01,4074.2
6702,2023,36.02.19.051.00,Удобрение 10,1016437.66,кг,65.0,2023-05-24,3.27
6703,2023,36.02.19.051.00,Удобрение 57,4675613.25,кг,299.0,2023-05-24,3.27
13186,2024,36.02.19.051.00,Удобрение 49,723466.25,т,65.0,2024-01-22,1.55
6210,2023,36.02.19.052.00,Удобрение 57,247213.33,кг,325.0,2023-05-19,8.67
11682,2024,36.02.19.055.00,Удобрение 49,416936.53,т,65.0,2023-10-02,7.93
14743,2024,36.02.19.055.00,Удобрение 57,1250809.58,кг,195.0,2024-04-15,7.93
17687,2024,36.02.19.055.00,Удобрение 34,12508.62,л,1.95,2024-05-26,7.93
7634,2023,36.02.19.056.00,Удобрение 57,4280933.63,кг,390.0,2023-06-02,3.15
7635,2023,36.02.19.057.00,Удобрение 57,1693181.92,кг,390.0,2023-06-02,4.66
13242,2024,36.02.19.057.00,Удобрение 49,196625.0,т,65.0,2024-02-26,0.98
6810,2023,36.02.19.058.00,Удобрение 10,470620.03,кг,65.0,2023-05-25,1536.82
7636,2023,36.02.19.058.00,Удобрение 57,593190.0,кг,390.0,2023-06-02,1536.82
7721,2023,36.02.19.058.00,Удобрение 57,828472.36,кг,390.0,2023-06-03,1536.82
6811,2023,36.02.19.061.01,Удобрение 57,195646.58,кг,299.0,2023-05-25,3993.12
6211,2023,36.02.19.065.00,Удобрение 57,156728.52,кг,325.0,2023-05-19,8.5
5719,2023,36.02.19.067.00,Удобрение 57,1685736.13,кг,325.0,2023-05-16,6.7
12769,2024,36.02.19.067.00,Удобрение 31,337147.23,кг,65.0,2023-10-25,5.62
14744,2024,36.02.19.067.00,Удобрение 57,1011441.68,кг,195.0,2024-04-15,5.62
17735,2024,36.02.19.067.00,Удобрение 34,10114.42,л,1.95,2024-05-27,5.62
10701,2024,36.02.19.068.00,Удобрение 57,67308.72,кг,3.25,2023-08-28,7.31
12082,2024,36.02.19.068.00,Удобрение 49,1346155.73,т,65.0,2023-10-07,7.31
15196,2024,36.02.19.068.00,Удобрение 31,91406.25,м3,65.0,2024-04-20,7.31
18446,2024,36.02.19.068.00,Удобрение 44,26923.11,л,1.3,2024-06-08,7.31
6432,2023,36.02.19.069.01,Удобрение 57,6543986.84,кг,299.0,2023-05-21,6.48
11564,2024,36.02.19.069.01,Удобрение 31,149760.0,кг,65.0,2023-09-30,8.4
13160,2024,36.02.19.069.01,Удобрение 31,31460.0,кг,65.0,2023-12-18,8.4
15006,2024,36.02.19.069.01,Удобрение 57,4267817.5,кг,195.0,2024-04-18,8.4
17936,2024,36.02.19.069.01,Удобрение 34,42678.18,л,1.95,2024-05-30,8.4
10702,2024,36.02.19.070.00,Удобрение 57,370.7,кг,3.25,2023-08-28,7.4
18491,2024,36.02.19.070.00,Удобрение 44,148.28,л,1.3,2024-06-09,7.4
2805,2023,36.02.19.071.01,Удобрение 57,1162898.93,кг,130.0,2023-04-19,2.695
6212,2023,36.02.19.072.00,Удобрение 57,993160.48,кг,325.0,2023-05-19,7.86
1888,2023,36.02.19.074.00,Удобрение 15,2698475.0,т,299.0,2023-04-06,
1957,2023,36.02.19.074.00,Удобрение 57,496264.53,кг,299.0,2023-04-07,
12299,2024,36.02.19.074.00,Удобрение 49,1197647.59,т,65.0,2023-10-12,
14544,2024,36.02.19.074.00,Удобрение 57,3592942.78,кг,195.0,2024-04-13,
17300,2024,36.02.19.074.01,Удобрение 34,34884.54,л,1.95,2024-05-20,6.17
10400,2024,36.02.19.076.00,Удобрение 31,1081665.0,кг,65.0,2023-08-05,
10721,2024,36.02.19.076.00,Удобрение 57,69714.23,кг,3.25,2023-08-29,
12724,2024,36.02.19.076.00,Удобрение 49,1394284.55,т,65.0,2023-10-23,
14745,2024,36.02.19.076.00,Удобрение 57,4182853.66,кг,195.0,2024-04-15,
17626,2024,36.02.19.076.01,Удобрение 34,39859.75,л,1.95,2024-05-25,7.09
16731,2024,36.02.19.077.00,Удобрение 57,2436479.84,кг,195.0,2024-05-10,7.18
18533,2024,36.02.19.077.00,Удобрение 34,24364.8,л,1.95,2024-06-10,7.18
8521,2023,36.02.19.078.01,Удобрение 57,1228831.53,кг,325.0,2023-06-15,7.95
13488,2024,36.02.19.078.01,Удобрение 57,491532.61,кг,130.0,2024-03-09,1.705
16154,2024,36.02.19.078.01,Удобрение 57,589839.14,кг,156.0,2024-05-01,1.705
8522,2023,36.02.19.079.00,Удобрение 57,1073783.88,кг,325.0,2023-06-15,7.67
15007,2024,36.02.19.079.00,Удобрение 57,644270.33,кг,195.0,2024-04-18,6.01
17736,2024,36.02.19.079.00,Удобрение 34,6442.7,л,1.95,2024-05-27,6.01
5720,2023,36.02.19.080.00,Удобрение 57,3075604.48,кг,325.0,2023-05-16,7.69
12261,2024,36.02.19.080.00,Удобрение 49,16640.0,т,65.0,2023-10-11,0.77
10972,2024,36.02.19.081.01,Удобрение 49,678198.18,т,39.0,2023-09-14,1.235
13489,2024,36.02.19.081.01,Удобрение 57,2260660.6,кг,130.0,2024-03-09,1.235
16155,2024,36.02.19.081.01,Удобрение 57,2712792.72,кг,156.0,2024-05-01,1.235
6315,2023,36.02.19.082.01,Удобрение 57,6495279.99,кг,325.0,2023-05-20,5.41
8939,2023,36.02.19.082.01,Удобрение 45,38972.6,л,1.95,2023-06-20,5.41
2889,2023,36.02.19.083.01,Удобрение 31,585.0,кг,65.0,2023-04-20,5.87
6213,2023,36.02.19.083.01,Удобрение 57,4515483.68,кг,299.0,2023-05-19,5.87
13188,2024,36.02.19.083.01,Удобрение 31,253906.25,кг,65.0,2024-01-25,1.59
13073,2024,36.02.19.084.01,Удобрение 31,709816.25,кг,65.0,2023-11-15,1.24
8703,2023,36.02.19.087.00,Удобрение 57,7889639.33,кг,299.0,2023-06-17,7.41
11837,2024,36.02.19.087.00,Удобрение 49,1715138.98,т,65.0,2023-10-04,10.75
14928,2024,36.02.19.087.00,Удобрение 57,5145416.95,кг,195.0,2024-04-17,10.75
17803,2024,36.02.19.087.00,Удобрение 34,51454.17,л,1.95,2024-05-28,10.75
5897,2023,36.02.19.088.00,Удобрение 57,1777839.68,кг,299.0,2023-05-17,7.41
12970,2024,36.02.19.088.00,Удобрение 49,120185.0,т,65.0,2023-11-05,7.19
15008,2024,36.02.19.088.00,Удобрение 57,1159460.66,кг,195.0,2024-04-18,7.19
17870,2024,36.02.19.088.00,Удобрение 34,11595.11,л,1.95,2024-05-29,7.19
13229,2024,36.02.19.089.00,Удобрение 49,574340.0,т,65.0,2024-02-17,3.87
14929,2024,36.02.19.089.00,Удобрение 57,4997617.58,кг,195.0,2024-04-17,3.87
17804,2024,36.02.19.089.00,Удобрение 34,49977.22,л,1.95,2024-05-28,3.87
11565,2024,36.02.19.090.00,Удобрение 49,42067.58,т,65.0,2023-09-30,1.9
11205,2024,36.02.19.091.00,Удобрение 49,301090.63,т,65.0,2023-09-22,2.12
14126,2024,36.02.19.091.00,Удобрение 57,903271.9,кг,195.0,2024-04-08,2.12
2058,2023,36.02.19.092.00,Удобрение 57,7372348.15,кг,195.0,2023-04-08,
11421,2024,36.02.19.092.00,Удобрение 36,9829797.54,кг,260.0,2023-09-27,
11460,2024,36.02.19.092.00,Удобрение 18,6389368.4,кг,169.0,2023-09-28,
13950,2024,36.02.19.092.00,Удобрение 57,14744696.3,кг,390.0,2024-04-03,
15197,2024,36.02.19.092.01,Удобрение 44,48203.16,л,1.3,2024-04-20,0.0
16068,2024,36.02.19.092.01,Удобрение 44,48203.16,л,1.3,2024-04-30,0.0
18278,2024,36.02.19.092.01,Удобрение 34,48203.16,л,1.3,2024-06-04,0.0
18279,2024,36.02.19.092.01,Удобрение 38,578437.92,кг,15.6,2024-06-04,0.0
19795,2024,36.02.19.092.01,Удобрение 33,72304.74,л,1.95,2024-07-08,0.0
9684,2024,36.02.19.093.01,Удобрение 49,1637276.17,т,65.0,2023-07-09,1.0599999999999998
18199,2024,36.02.19.094.00,Удобрение 34,212.54,л,1.95,2024-06-03,0.655
2059,2023,36.02.19.098.00,Удобрение 57,168206.4,кг,195.0,2023-04-08,3.11
6554,2023,36.02.19.098.00,Удобрение 3,1121.38,кг,1.3,2023-05-22,3.11
13237,2024,36.02.19.098.00,Удобрение 49,56068.8,т,65.0,2024-02-21,1.53
1236,2023,36.05.07.003.00,Удобрение 15,527.28,т,0.2,2023-03-23,2.1
4100,2023,36.05.07.003.00,Удобрение 57,847876.3,кг,195.0,2023-05-05,2.1
7789,2023,36.05.07.003.00,Удобрение 38,62177.6,кг,14.3,2023-06-05,2.1
12129,2024,36.05.07.003.00,Удобрение 19,633080.97,кг,145.6,2023-10-08,
12130,2024,36.05.07.003.00,Удобрение 36,960926.48,кг,221.0,2023-10-08,
13132,2024,36.05.07.003.00,Удобрение 19,399360.0,кг,390.0,2023-11-27,
13133,2024,36.05.07.003.00,Удобрение 19,449250.2,кг,390.0,2023-11-27,
1237,2023,36.05.07.004.00,Удобрение 15,30.62,т,0.2,2023-03-23,2.505
4101,2023,36.05.07.004.00,Удобрение 57,30615.18,кг,195.0,2023-05-05,2.505
12131,2024,36.05.07.004.00,Удобрение 36,34697.2,кг,221.0,2023-10-08,
12188,2024,36.05.07.004.00,Удобрение 19,22859.33,кг,145.6,2023-10-09,
14224,2024,36.05.07.004.00,Удобрение 57,30411.07,кг,193.7,2024-04-10,
19408,2024,36.05.07.004.01,Удобрение 57,25923.48,кг,195.0,2024-06-29,0.0
20240,2024,36.05.07.004.01,Удобрение 33,224.69,л,1.69,2024-08-04,0.0
1238,2023,36.05.07.005.01,Удобрение 15,1422.5,т,0.19,2023-03-23,2.29
3955,2023,36.05.07.005.01,Удобрение 57,1422832.4,кг,195.0,2023-05-04,2.29
7790,2023,36.05.07.005.01,Удобрение 38,97140.71,кг,14.3,2023-06-05,2.29
12083,2024,36.05.07.005.01,Удобрение 36,1612543.38,кг,221.0,2023-10-07,0.0
12189,2024,36.05.07.005.01,Удобрение 19,1062381.52,кг,145.6,2023-10-09,0.0
19365,2024,36.05.07.005.01,Удобрение 57,1422832.4,кг,195.0,2024-06-28,0.0
20241,2024,36.05.07.005.01,Удобрение 33,12331.66,л,1.69,2024-08-04,0.0
19409,2024,36.05.07.005.02,Удобрение 57,522424.03,кг,195.0,2024-06-29,0.0
20242,2024,36.05.07.005.02,Удобрение 33,4527.81,л,1.69,2024-08-04,0.0
20318,2024,36.05.07.005.04,Удобрение 49,146.25,т,65.0,2024-08-18,0.0
1239,2023,36.05.07.006.00,Удобрение 15,3095.82,т,0.2,2023-03-23,2.405
3956,2023,36.05.07.006.00,Удобрение 57,2808000.0,кг,195.0,2023-05-04,2.405
12084,2024,36.05.07.006.00,Удобрение 36,2191034.86,кг,221.0,2023-10-07,
12132,2024,36.05.07.006.00,Удобрение 36,270725.0,кг,221.0,2023-10-08,
12133,2024,36.05.07.006.00,Удобрение 19,658485.1,кг,145.6,2023-10-08,
12190,2024,36.05.07.006.00,Удобрение 19,659856.64,кг,145.6,2023-10-09,
14225,2024,36.05.07.006.00,Удобрение 57,3531271.56,кг,195.0,2024-04-10,
19366,2024,36.05.07.006.01,Удобрение 57,3025948.56,кг,195.0,2024-06-28,0.0
19367,2024,36.05.07.006.01,Удобрение 57,633555.0,кг,195.0,2024-06-28,0.0
20243,2024,36.05.07.006.01,Удобрение 33,26224.73,л,1.69,2024-08-04,0.0
1240,2023,36.05.07.007.00,Удобрение 15,9.73,т,0.2,2023-03-23,2551.46
3957,2023,36.05.07.007.00,Удобрение 57,9719.5,кг,195.0,2023-05-04,2551.46
12085,2024,36.05.07.007.00,Удобрение 19,7257.23,кг,145.6,2023-10-07,
12086,2024,36.05.07.007.00,Удобрение 36,11015.44,кг,221.0,2023-10-07,
14226,2024,36.05.07.007.00,Удобрение 57,9654.71,кг,193.7,2024-04-10,
12625,2024,36.05.07.008.00,Удобрение 36,500175.0,кг,247.0,2023-10-19,
12626,2024,36.05.07.008.00,Удобрение 36,395200.0,кг,247.0,2023-10-19,
14096,2024,36.05.07.008.00,Удобрение 57,2489623.01,кг,194.97,2024-04-07,
14334,2024,36.05.07.008.00,Удобрение 57,480292.34,кг,195.0,2024-04-11,
1159,2023,36.05.07.008.01,Удобрение 15,1258.21,т,0.2,2023-03-22,0.195
1160,2023,36.05.07.008.01,Удобрение 15,1258.06,т,0.2,2023-03-22,0.195
3958,2023,36.05.07.008.01,Удобрение 57,5031389.4,кг,195.0,2023-05-04,0.195
7791,2023,36.05.07.008.01,Удобрение 38,368968.56,кг,14.3,2023-06-05,0.195
19490,2024,36.05.07.008.01,Удобрение 57,2028780.0,кг,195.0,2024-07-01,0.0
19541,2024,36.05.07.008.01,Удобрение 57,4968938.7,кг,195.0,2024-07-02,0.0
19542,2024,36.05.07.008.01,Удобрение 57,647637.3,кг,195.0,2024-07-02,0.0
20250,2024,36.05.07.008.01,Удобрение 33,43064.34,л,1.69,2024-08-06,0.0
1161,2023,36.05.07.009.00,Удобрение 15,744.51,т,0.2,2023-03-22,5.54
1162,2023,36.05.07.009.00,Удобрение 15,744.63,т,0.2,2023-03-22,5.54
3843,2023,36.05.07.009.00,Удобрение 57,2977561.26,кг,195.0,2023-05-03,5.54
7792,2023,36.05.07.009.00,Удобрение 38,218354.49,кг,14.3,2023-06-05,5.54
14127,2024,36.05.07.009.00,Удобрение 57,3036119.72,кг,198.83,2024-04-08,0.0
19466,2024,36.05.07.009.00,Удобрение 57,2977561.26,кг,195.0,2024-06-30,0.0
20256,2024,36.05.07.009.00,Удобрение 33,25805.37,л,1.69,2024-08-07,0.0
1163,2023,36.05.07.010.00,Удобрение 15,339.44,т,0.2,2023-03-22,1.8566666666666667
1164,2023,36.05.07.010.00,Удобрение 15,339.44,т,0.2,2023-03-22,1.8566666666666667
3844,2023,36.05.07.010.00,Удобрение 57,1356984.8,кг,195.0,2023-05-03,1.8566666666666667
7793,2023,36.05.07.010.00,Удобрение 38,99512.22,кг,14.3,2023-06-05,1.8566666666666667
14097,2024,36.05.07.010.00,Удобрение 57,1049885.0,кг,194.77,2024-04-07,
19410,2024,36.05.07.010.01,Удобрение 57,1340766.65,кг,195.0,2024-06-29,0.0
19922,2024,36.05.07.010.01,Удобрение 33,13407.67,л,1.95,2024-07-12,0.0
19923,2024,36.05.07.010.01,Удобрение 55,3575.59,л,0.52,2024-07-12,0.0
20257,2024,36.05.07.010.01,Удобрение 33,11620.41,л,1.69,2024-08-07,0.0
1096,2023,36.05.07.011.00,Удобрение 15,112.32,т,0.2,2023-03-15,4.52
1097,2023,36.05.07.011.00,Удобрение 15,112.32,т,0.2,2023-03-15,4.52
1165,2023,36.05.07.011.00,Удобрение 15,151.39,т,0.2,2023-03-22,4.52
1166,2023,36.05.07.011.00,Удобрение 15,151.39,т,0.2,2023-03-22,4.52
3845,2023,36.05.07.011.00,Удобрение 57,2097778.49,кг,195.0,2023-05-03,4.52
1065,2023,36.05.07.012.01,Удобрение 15,500.32,т,0.2,2023-03-14,2.0933333333333333
1066,2023,36.05.07.012.01,Удобрение 15,499.57,т,0.19,2023-03-14,2.0933333333333333
3649,2023,36.05.07.012.01,Удобрение 57,1999844.52,кг,195.0,2023-05-01,2.0933333333333333
3650,2023,36.05.07.013.00,Удобрение 57,1234309.75,кг,195.0,2023-05-01,1.9966666666666668
15580,2024,36.05.07.014.00,Удобрение 57,156220.63,кг,247.0,2024-04-25,
16156,2024,36.05.07.014.00,Удобрение 13,164455.85,кг,260.0,2024-05-01,
18200,2024,36.05.07.014.01,Удобрение 34,642.49,л,1.95,2024-06-03,5708.07
1067,2023,36.05.07.015.00,Удобрение 15,633.44,т,0.2,2023-03-14,4.21
1068,2023,36.05.07.015.00,Удобрение 15,633.56,т,0.2,2023-03-14,4.21
3737,2023,36.05.07.015.00,Удобрение 57,2533775.42,кг,195.0,2023-05-02,4.21
14051,2024,36.05.07.015.00,Удобрение 57,2590363.59,кг,199.36,2024-04-06,
19543,2024,36.05.07.015.01,Удобрение 57,2445643.22,кг,195.0,2024-07-02,0.0
19544,2024,36.05.07.015.01,Удобрение 57,589875.0,кг,195.0,2024-07-02,0.0
19545,2024,36.05.07.015.01,Удобрение 57,633332.72,кг,195.0,2024-07-02,0.0
19924,2024,36.05.07.015.01,Удобрение 33,24457.16,л,1.95,2024-07-12,0.0
19925,2024,36.05.07.015.01,Удобрение 55,6522.3,л,0.52,2024-07-12,0.0
1098,2023,36.05.07.016.00,Удобрение 15,1605.11,т,0.2,2023-03-15,2.3440000000000003
1099,2023,36.05.07.016.00,Удобрение 15,1605.29,т,0.2,2023-03-15,2.3440000000000003
3738,2023,36.05.07.016.00,Удобрение 57,6420199.99,кг,195.0,2023-05-02,2.3440000000000003
7794,2023,36.05.07.016.00,Удобрение 38,470814.67,кг,14.3,2023-06-05,2.3440000000000003
5149,2023,36.05.07.017.00,Удобрение 57,290431.3,кг,259.1,2023-05-13,
5150,2023,36.05.07.017.00,Удобрение 10,145616.51,кг,129.91,2023-05-13,
13304,2024,36.05.07.018.00,Удобрение 57,346112.7,кг,195.0,2024-03-05,
5010,2023,36.05.07.019.00,Удобрение 10,640014.67,кг,129.91,2023-05-12,7.455
13305,2024,36.05.07.019.00,Удобрение 57,960694.04,кг,195.0,2024-03-05,
5500,2023,36.05.07.020.00,Удобрение 57,2454417.06,кг,260.0,2023-05-15,5.221666666666667
5501,2023,36.05.07.020.00,Удобрение 10,1227208.53,кг,130.0,2023-05-15,5.221666666666667
